row_id,article_id,dataset_id,type
0,10.1002_anie.202007717,https://doi.org/10.5517/ccdc.csd.cc25jnv7,Missing
1,10.1002_chem.201902131,https://doi.org/10.5517/ccdc.csd.cc1npvt0,Missing
2,10.1002_anie.202005531,https://doi.org/10.5517/ccdc.csd.cc25jnv7,Missing
3,10.1002_chem.202000235,https://doi.org/10.5517/ccdc.csd.cc249jnv,Missing
4,10.1002_chem.201903120,https://doi.org/10.5517/ccdc.csd.cc21v0d0,Missing
5,10.1002_ece3.4466,https://doi.org/10.5061/dryad.r6nq870,Primary
6,10.1002_ece3.3985,https://doi.org/10.5061/dryad.ns1rn8pnt,Primary
7,10.1002_chem.202001412,https://doi.org/10.5517/ccdc.csd.cc24jnv7,Missing
8,10.1002_ece3.5395,https://doi.org/10.5441/001/1.4192t2j4/1,Primary
9,10.1002_ece3.5395,https://doi.org/10.5441/001/1.71r7pp6q/1,Primary
10,10.1002_ece3.5395,https://doi.org/10.5441/001/1.84swpflw/1,Primary
11,10.1002_ece3.5395,https://doi.org/10.5441/001/1.v1cs4nn0/1,Primary
12,10.1002_ece3.5395,https://doi.org/10.5441/001/1.w9sfl9tt/1,Primary
13,10.1002_ece3.5395,https://doi.org/10.5441/001/1.xs4s0l6j/1,Primary
14,10.1002_ece3.5395,https://doi.org/10.5441/001/1.yl4swt0j/1,Primary
15,10.1002_ece3.5395,https://doi.org/10.5441/001/1.zl9s0l8j/1,Primary
16,10.1002_ece3.5260,https://doi.org/10.5061/dryad.2f62927,Primary
17,10.1002_ece3.6303,https://doi.org/10.5061/dryad.37pvmcvgb,Primary
18,10.1002_anie.201916483,https://doi.org/10.5517/ccdc.csd.cc1npvt0,Missing
19,10.1002_ece3.6784,https://doi.org/10.25592/uhhfdm.1153,Missing
20,10.1002_ece3.6784,https://doi.org/10.25592/uhhfdm.1174,Missing
21,10.1002_ece3.6784,https://doi.org/10.25592/uhhfdm.1245,Missing
22,10.1002_ece3.6784,https://doi.org/10.25592/uhhfdm.1262,Missing
23,10.1002_chem.202001668,https://doi.org/10.5517/ccdc.csd.cc240wsw,Missing
24,10.1002_ece3.6144,https://doi.org/10.5061/dryad.zw3r22854,Primary
25,10.1002_ecs2.4619,https://doi.org/10.25349/d9qw5x,Primary
26,10.1002_ece3.9627,https://doi.org/10.5061/dryad.b8gtht7h3,Primary
27,10.1002_ece3.961,https://doi.org/10.5061/dryad.gk24s,Primary
28,10.1002_ece3.961,https://doi.org/10.5061/dryad.k23sf05s,Primary
29,10.1002_esp.5058,https://doi.org/10.5061/dryad.jh9w0vt9t,Primary
30,10.1002_esp.5058,https://doi.org/10.5066/p9fw6e8k,Primary
31,10.1002_ecs2.1280,https://doi.org/10.5061/dryad.p3fg9,Primary
32,10.1002_2017jc013030,https://doi.org/10.17882/49388,Primary
33,10.1002_esp.5090,https://doi.org/10.5066/p9353101,Secondary
34,10.1002_ejic.201900904,https://doi.org/10.5517/ccdc.csd.cc21v3vw,Missing
35,10.1002_nafm.10870,https://doi.org/10.5066/p9gtumay,Primary
36,10.1002_ejoc.202000916,https://doi.org/10.5517/ccdc.csd.cc25jnv7,Missing
37,10.1002_chem.202003167,https://doi.org/10.5517/ccdc.csd.cc25jnv7,Missing
38,10.1002_mp.14424,https://doi.org/10.7937/k9/tcia.2015.pf0m9rei,Secondary
39,10.1002_mp.14424,https://doi.org/10.7937/tcia.2020.6c7y-gq39,Primary
40,10.1002_cssc.202201821,https://doi.org/10.5281/zenodo.7074789,Primary
41,10.1002_cssc.202201821,https://doi.org/10.5281/zenodo.7074790,Primary
42,10.1007_jhep07(2018)134,https://doi.org/10.17182/hepdata.82210.v1/t12,Missing
43,10.1007_jhep07(2018)134,https://doi.org/10.17182/hepdata.82210.v1/t13,Missing
44,10.1002_ejoc.202000139,https://doi.org/10.5517/ccdc.csd.cc1npvt0,Missing
